timestamp=2025-12-04T13:41:05.243Z level=INFO fiber=#0 message="Starting Salesforce Metadata API scraper (visible: false, browsers: 5, concurrency: 20, total: 100)"
timestamp=2025-12-04T13:41:34.286Z level=INFO fiber=#372 message="[178/566] EclairGeoData → Browser 4"
timestamp=2025-12-04T13:41:35.282Z level=INFO fiber=#373 message="[167/566] DisclosureDefinitionVersion → Browser 5"
timestamp=2025-12-04T13:41:35.283Z level=INFO fiber=#328 message="[168/566] DisclosureType → Browser 5"
timestamp=2025-12-04T13:41:35.288Z level=INFO fiber=#298 message="[170/566] DiscoveryGoal → Browser 5"
timestamp=2025-12-04T13:41:35.290Z level=INFO fiber=#343 message="[169/566] DiscoveryAIModel → Browser 5"
timestamp=2025-12-04T13:41:35.787Z level=INFO fiber=#368 message="[185/566] EmbeddedServiceLiveAgent → Browser 5"
timestamp=2025-12-04T13:41:35.796Z level=INFO fiber=#383 message="[186/566] EmbeddedServiceMenuSettings → Browser 5"
timestamp=2025-12-04T13:41:35.799Z level=INFO fiber=#388 message="[184/566] EmbeddedServiceFlowConfig → Browser 5"
timestamp=2025-12-04T13:41:35.803Z level=INFO fiber=#348 message="[187/566] EnablementMeasureDefinition → Browser 5"
timestamp=2025-12-04T13:41:35.804Z level=INFO fiber=#338 message="[189/566] EnblProgramTaskSubCategory → Browser 5"
timestamp=2025-12-04T13:41:35.869Z level=INFO fiber=#308 message="[188/566] EnablementProgramDefinition → Browser 5"
timestamp=2025-12-04T13:41:37.918Z level=INFO fiber=#292 message="[194/566] EventRelayConfig → Browser 4"
timestamp=2025-12-04T13:41:38.712Z level=INFO fiber=#316 message="[195/566] EventSubscription → Browser 3"
timestamp=2025-12-04T13:41:38.921Z level=INFO fiber=#382 message="[196/566] ExperienceBundle → Browser 4"
timestamp=2025-12-04T13:41:39.064Z level=INFO fiber=#353 message="[197/566] ExperiencePropertyTypeBundle (Beta) → Browser 5"
timestamp=2025-12-04T13:41:39.076Z level=INFO fiber=#378 message="[198/566] ExplainabilityMsgTemplate → Browser 5"
timestamp=2025-12-04T13:41:39.689Z level=INFO fiber=#365 message="[199/566] ExpressionSetDefinition → Browser 2"
timestamp=2025-12-04T13:41:39.749Z level=INFO fiber=#304 message="[200/566] ExpressionSetMessageToken → Browser 1"
timestamp=2025-12-04T13:41:39.756Z level=INFO fiber=#330 message="[202/566] ExternalAuthIdentityProvider → Browser 2"
timestamp=2025-12-04T13:41:39.780Z level=INFO fiber=#290 message="[201/566] ExpressionSetObjectAlias → Browser 2"
timestamp=2025-12-04T13:41:39.888Z level=INFO fiber=#342 message="[203/566] ExternalClientApplication → Browser 4"
timestamp=2025-12-04T13:41:40.508Z level=INFO fiber=#297 message="[204/566] ExternalCredential → Browser 4"
timestamp=2025-12-04T13:41:40.567Z level=INFO fiber=#358 message="[205/566] ExternalAIModel → Browser 5"
